model_paths,binary_crossentropy_loss,binary_accuracy,dice_coefficient,binary_iou
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_176_date_20220809,0.1739184707403183,0.9349364638328552,0.6288570761680603,0.7299649715423584
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_32_size_176_date_20220809,0.15859262645244598,0.9390469789505005,0.6524798274040222,0.7605348825454712
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_32_epochs_20_filters_16_size_176_date_20220809,0.16905134916305542,0.9360154867172241,0.6238721013069153,0.7425620555877686
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_32_epochs_20_filters_32_size_176_date_20220809,0.16235864162445068,0.9380939602851868,0.6390283107757568,0.7463070154190063
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_64_epochs_20_filters_16_size_176_date_20220809,0.17600637674331665,0.9330655336380005,0.6166279911994934,0.7324963808059692
models\landsat_8\unet_model_opt_adam_lr_0.001_batch_64_epochs_20_filters_32_size_144_date_20220810,0.1939629465341568,0.9262701272964478,0.561888575553894,0.6988141536712646
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_16_epochs_20_filters_16_size_144_date_20220808,0.3005314767360687,0.8825348019599915,0.31390318274497986,0.5505967736244202
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_16_epochs_20_filters_32_size_112_date_20220809,0.39193716645240784,0.8678004741668701,0.13977591693401337,0.43390023708343506
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_32_epochs_20_filters_16_size_176_date_20220809,0.30532097816467285,0.8809566497802734,0.3361191749572754,0.5685299634933472
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_32_epochs_20_filters_32_size_144_date_20220809,0.30637529492378235,0.8809487223625183,0.32020309567451477,0.5538287162780762
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_64_epochs_20_filters_16_size_144_date_20220809,0.3223826587200165,0.879173994064331,0.2594996392726898,0.49677854776382446
models\landsat_8\unet_model_opt_adam_lr_0.01_batch_64_epochs_20_filters_32_size_144_date_20220810,0.39264237880706787,0.8678486347198486,0.14181438088417053,0.4339243173599243
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_16_epochs_20_filters_16_size_144_date_20220808,0.17788587510585785,0.932967483997345,0.6129342317581177,0.7317384481430054
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_16_epochs_20_filters_32_size_176_date_20220809,0.17375293374061584,0.9354532957077026,0.6220964193344116,0.7383818626403809
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_32_epochs_20_filters_16_size_112_date_20220809,0.19119912385940552,0.9267433881759644,0.5809754133224487,0.7187802791595459
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_32_epochs_20_filters_32_size_112_date_20220809,0.19075597822666168,0.9294800758361816,0.580854594707489,0.7104942202568054
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_64_epochs_20_filters_16_size_144_date_20220809,0.19818153977394104,0.9259034991264343,0.5685845017433167,0.7034240365028381
models\landsat_8\unet_model_opt_rmsprop_lr_0.001_batch_64_epochs_20_filters_32_size_144_date_20220810,0.20697396993637085,0.9222633838653564,0.5362661480903625,0.6956368684768677
models\landsat_8\unet_model_opt_rmsprop_lr_0.01_batch_16_epochs_20_filters_16_size_144_date_20220809,0.29147088527679443,0.8818414807319641,0.35600295662879944,0.5560978651046753
models\landsat_8\unet_model_opt_rmsprop_lr_0.01_batch_16_epochs_20_filters_32_size_112_date_20220809,0.37217023968696594,0.8678004741668701,0.14534036815166473,0.43390023708343506
models\landsat_8\unet_model_opt_rmsprop_lr_0.01_batch_32_epochs_20_filters_16_size_176_date_20220809,0.40272632241249084,0.8368650674819946,0.32931292057037354,0.5274413228034973
models\landsat_8\unet_model_opt_rmsprop_lr_0.01_batch_32_epochs_20_filters_32_size_176_date_20220809,0.35060858726501465,0.8677318692207336,0.21777169406414032,0.4339146316051483
models\landsat_8\unet_model_opt_rmsprop_lr_0.01_batch_64_epochs_20_filters_16_size_144_date_20220809,0.35755664110183716,0.8678491711616516,0.2119196355342865,0.433928906917572
