run,tag,step,value
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,0,0.8589520454406738
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,1,0.8704041838645935
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,2,0.8824716210365295
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,3,0.8873186111450195
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,4,0.8917977213859558
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,5,0.8953983783721924
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,6,0.8984337449073792
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,7,0.9006864428520203
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,8,0.9027902483940125
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,9,0.9053632616996765
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,10,0.9068089127540588
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,11,0.9080666899681091
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,12,0.9090931415557861
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,13,0.9106659293174744
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,14,0.9113234281539917
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,15,0.9124809503555298
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,16,0.9131373167037964
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,17,0.9140431880950928
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,18,0.9151052832603455
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_accuracy,19,0.9158129692077637
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,0,0.43088045716285706
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,1,0.4924822449684143
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,2,0.5522118210792542
